
[-1, -1, -1, -1]	RBBBBR_acdblefjkghi
[0, 0]	RBBBBR_acbdlefjkghi
[0, 0]	RRBBRR_acbdlefjkghi
[0]	RRB_acbdef
[1, 1, -1, -1]	RRBBRBRRBRBB_acbdviexgfwhjtukrslpqmno
[1, 1, 1, 1]	RRBRBBRRRBRRRRBRRB_acebdfgiHhIJjmEkDnlFGoBCpzAqxyrvwstu
[2, 1, 1]	RBBBBBRBRBRBRBR_aebchfdjBgkAiCDlyzmwxnuvostpqr
[2, 2]	RRBBRRBRRRBR_acbdgfeivhwxjtukrslpqmno
[3, 1]	RBBBBRRRRRRB_abdchwefxgtjiuvkrslpqmno
[4, 4]	RRBBRRBRRRBRRBRRBR_acbdfegIJhHijGlkoBmEFnCDpzAqxyrvwstu
[4]	RRBBRRBRR_adcbfegqrhopimnjkl
[8]	RRBBRRBRRRBRRBR_acbdfegDihlyjBCkzAmwxnuvostpqr

